team_placement,player_dist_walk,player_dmg,player_dist_ride,player_survive_time,game_size,party_size,player_kills
1,2822.98462,1116,6717.846,29.0,24,4,9
1,3108.06885,685,4571.60938,32.0,24,4,5
1,2815.6682100000007,460,8236.826,31.0,31,4,3
1,1677.9812,598,9245.749,31.0,31,4,4
1,1355.92017,42,12474.09,31.0,31,4,0
1,2904.99463,29,1171.68079,31.0,25,4,1
1,3176.894,226,964.7319,31.0,25,4,3
1,3381.7490000000007,190,836.2522,31.0,25,4,0
1,3302.61133,1105,828.573853,31.0,25,4,7
1,2774.76074,198,4305.082,25.0,27,4,2
1,3735.6665,584,2505.78882,31.0,27,4,3
1,3362.39917,160,2697.61743,29.0,27,4,2
1,2741.3335,302,3302.70679,24.0,27,4,3
1,3254.522,605,3806.05225,31.0,23,4,6
1,2734.87134,505,4842.51,31.0,23,4,4
1,3241.27441,540,4019.85059,32.0,24,4,8
1,3415.43335,89,3727.27148,31.0,23,4,1
1,1794.84985,0,0.0,12.0,27,4,0
1,2987.05957,343,4672.4682600000015,31.0,27,4,3
1,3405.10181,118,4864.43359,30.0,27,4,1
1,1994.083,144,1348.07776,16.0,27,4,0
1,3999.67114,1146,3240.78564,27.0,27,4,11
1,3469.96069,447,3675.24585,27.0,27,4,4
1,4489.64063,601,2764.637210000001,22.0,27,4,4
1,1876.489,0,6703.0625,32.0,26,4,0
1,2037.48828,192,6454.047360000001,32.0,26,4,2
1,29.6544037,0,0.0,1.0,26,4,0
1,2040.62927,99,5468.48047,32.0,26,4,1
1,3597.87964,310,2434.186,29.0,27,4,3
1,2445.94336,44,4895.776370000001,29.0,27,4,0
1,3083.44629,75,3601.340820000001,29.0,27,4,1
1,8364.574,269,365.630585,31.0,27,4,1
1,2863.816,325,4627.176,32.0,24,4,1
1,2585.212,501,4765.365,32.0,24,4,5
1,1602.79688,228,3114.78979,30.0,27,4,1
1,3406.942,808,3571.92065,32.0,25,4,6
1,4452.1123,317,1721.44287,29.0,26,4,1
1,2794.85132,369,6061.84961,29.0,26,4,4
1,2510.276,0,0.0,29.0,26,4,0
1,3562.2085,235,3139.20435,29.0,26,4,2
1,2448.729,525,3615.35278,29.0,26,4,3
1,2693.38745,167,3170.48657,29.0,26,4,3
1,2079.5415,75,3408.79,29.0,26,4,1
1,3261.276610000001,195,3092.83276,29.0,26,4,1
1,10131.5791,2551,0.0,26.0,27,4,22
1,4180.838,702,0.0,26.0,27,4,7
1,74.8342743,40,0.0,2.0,27,4,0
1,2902.11084,98,0.0,26.0,27,4,0
1,2177.17236,349,3067.56714,28.0,28,4,2
1,1277.47949,390,4396.34229,28.0,28,4,3
1,3957.08569,84,1592.57751,28.0,28,4,1
1,1412.57458,442,3704.85132,28.0,28,4,1
1,3178.81836,804,4573.9079999999985,30.0,27,4,7
1,2712.08,44,5539.64,30.0,27,4,1
1,2771.87158,321,4597.31934,30.0,27,4,4
1,2256.42261,732,2194.77271,32.0,27,4,7
1,2453.77515,356,2191.06323,32.0,27,4,2
1,738.0771,200,0.0,32.0,27,4,2
1,3113.902,107,3024.85181,29.0,27,4,0
1,4744.344,356,0.0,32.0,23,4,4
1,4604.0004899999985,61,0.0,32.0,23,4,0
1,5205.747,84,1.77285981,32.0,23,4,0
1,3433.03564,171,3326.91528,31.0,28,4,2
1,968.599854,0,0.0,9.0,28,4,0
1,3407.2937,312,2704.79761,31.0,28,4,2
1,2733.60742,290,4285.981,31.0,28,4,2
1,4512.502,474,0.0,32.0,23,4,7
1,2965.87476,176,4845.0527299999985,31.0,25,4,1
1,3123.76343,87,4424.27246,31.0,25,4,0
1,3130.291,342,4344.599,31.0,25,4,3
1,1550.90784,1020,7270.5205099999985,30.0,17,4,6
1,2259.3447300000007,409,5433.308000000001,30.0,17,4,4
1,1718.52625,24,3984.88257,30.0,17,4,0
1,4197.98633,237,7361.015,30.0,26,4,3
1,2938.43457,145,8553.31,30.0,26,4,0
1,4814.529,440,0.0,30.0,27,4,3
1,3300.66479,157,8309.284,30.0,26,4,1
1,3202.07178,297,50.134613,29.0,28,4,4
1,3146.61816,541,853.574036,29.0,28,4,5
1,3515.82227,605,169.874557,29.0,28,4,5
1,3180.876,476,1502.59131,30.0,27,4,2
1,3847.81226,507,1516.59058,30.0,27,4,7
1,3878.1272,198,3156.271,30.0,27,4,1
1,4400.118,455,3276.64941,30.0,27,4,4
1,1811.84314,764,5245.484,32.0,29,4,4
1,3500.865,38,844.5931400000002,31.0,24,4,0
