team_placement,player_dist_walk,player_dmg,player_dist_ride,player_survive_time,game_size,party_size,player_kills
1,2527.957000000001,487,3131.99243,36.0,37,2,4
1,3132.213,422,2320.16479,36.0,37,2,2
1,3520.9040000000005,996,1289.40173,31.0,43,2,10
1,2426.61963,611,5403.95752,30.0,47,2,5
1,2966.74463,193,5402.73828,30.0,47,2,3
1,3971.67871,139,0.0,34.0,39,2,1
1,3416.50635,840,1389.65283,29.0,49,2,8
1,2274.09961,129,2732.7063,31.0,49,2,2
1,2430.223,275,2823.907,31.0,49,2,2
1,1973.922,1172,4191.378,31.0,50,2,5
1,4651.21533,486,0.0,33.0,47,2,4
1,1801.3656,1853,4565.688,31.0,50,2,6
1,3269.45728,525,4660.89551,30.0,50,2,6
1,2450.98584,361,4618.434,32.0,50,2,6
1,1858.51782,256,5273.002,32.0,50,2,1
1,2080.74023,1027,5905.517,32.0,48,2,11
1,1930.16248,338,5740.44,32.0,48,2,2
1,4198.07764,394,1802.64136,31.0,45,2,3
1,4565.0127,720,0.0,34.0,39,2,4
1,3561.28979,244,2526.49072,31.0,45,2,2
1,3824.7688,516,1280.98218,31.0,43,2,6
1,2496.499,312,6756.82861,34.0,45,2,3
1,3603.99561,1070,1350.39233,30.0,47,2,13
1,4322.417,593,9.196873,32.0,50,2,5
1,3341.94336,508,1030.7124,32.0,50,2,5
1,4242.817,594,3771.5293,31.0,50,2,6
1,2337.63745,252,3298.85229,30.0,47,2,2
1,1903.764,175,2300.949,31.0,50,2,2
1,1687.57593,408,1998.25671,30.0,50,2,3
1,1762.6817600000004,274,1585.23389,31.0,50,2,2
1,2740.20947,391,3136.65869,32.0,50,2,2
1,2006.96558,436,3136.27417,32.0,50,2,3
1,1438.1273199999996,302,2015.2981,30.0,50,2,3
1,2784.40063,351,0.0,29.0,49,2,6
1,35.055442799999994,44,0.0,33.0,46,2,0
1,2527.22583,1396,3697.16772,33.0,46,2,16
1,3502.9104,0,0.0,31.0,44,2,0
1,3726.95166,587,0.0,31.0,38,2,6
1,3727.43628,371,3773.90039,31.0,50,2,2
1,3536.16382,103,0.0,31.0,44,2,1
1,3480.397,337,0.0,31.0,38,2,4
1,1439.41,0,7387.7559999999985,34.0,45,2,0
1,3723.97949,231,5940.38672,32.0,42,2,3
1,4501.401370000001,218,0.0,33.0,47,2,0
1,2123.89819,141,1569.85376,36.0,44,2,2
1,3942.936,185,1811.28589,28.0,32,2,0
1,4955.42,626,1448.365,30.0,46,2,4
1,2998.1106,397,3848.78149,31.0,49,2,5
1,2306.896,59,1575.24182,36.0,44,2,0
1,1646.2605,133,4261.85059,34.0,48,2,1
1,5210.49365,99,1415.31677,30.0,46,2,4
1,2191.80322,284,1177.4211400000004,32.0,49,2,1
1,1332.0294199999996,303,4451.95068,31.0,50,2,4
1,2566.207000000001,908,607.4336549999998,32.0,49,2,7
1,2654.43677,814,870.7252,30.0,50,2,7
1,2408.21777,285,7047.83,32.0,48,2,2
1,2630.94067,894,3887.09351,36.0,49,2,10
1,2018.53076,181,1284.9836400000004,30.0,50,2,2
1,3082.0498,433,3300.64063,31.0,50,2,4
1,2624.60156,287,7691.009279999998,32.0,48,2,3
1,2194.3134800000007,326,6710.223000000001,32.0,50,2,2
1,2835.24121,395,3185.81177,31.0,37,2,3
1,3487.578,702,485.794922,30.0,48,2,6
1,3517.9834,145,5249.20166,32.0,42,2,1
1,2644.42847,427,4270.615,31.0,49,2,3
1,1995.43738,446,5582.14453,34.0,48,2,2
1,1868.129,238,6201.833000000001,32.0,50,2,2
1,2737.9240000000004,332,3898.5498,36.0,49,2,2
1,2746.870360000001,414,3940.88379,31.0,37,2,4
1,3462.473,774,484.344543,30.0,48,2,8
2,3156.44678,8,1773.4547100000002,31.0,39,2,0
2,2262.966,325,2927.365,30.0,50,2,3
2,1781.32043,287,2919.27246,27.0,50,2,2
2,2803.97,258,5077.319,31.0,38,2,2
2,2563.347,348,3907.482,29.0,49,2,1
2,2160.57178,191,6404.18457,29.0,49,2,0
2,3881.65869,487,0.0,30.0,42,2,2
2,3949.85913,334,1182.09888,29.0,45,2,1
2,1821.88354,333,3389.7666,32.0,50,2,1
2,2766.77368,307,2151.95923,34.0,39,2,3
2,3943.50781,44,1308.20679,29.0,48,2,1
2,1770.5227100000004,649,1542.6416,29.0,46,2,4
2,1269.24707,40,5646.063,29.0,48,2,0
2,4029.82666,0,0.0,32.0,31,2,0
2,3892.63428,120,0.84716177,32.0,31,2,1
2,2907.565,44,3703.49854,32.0,48,2,0
2,3121.29834,323,3847.21729,30.0,50,2,6
2,137.100449,71,0.0,2.0,49,2,0
2,3703.338,60,2551.48486,33.0,46,2,2
2,2101.59424,568,7175.50244,32.0,50,2,3
2,1989.00842,210,5852.669,27.0,50,2,2
2,3493.05615,260,3735.35,33.0,46,2,1
2,3534.607,702,3565.51978,24.0,47,2,4
2,4023.63159,371,369.92218,31.0,49,2,3
2,2143.14624,116,7202.20752,31.0,48,2,1
2,2743.34937,294,2066.383,31.0,49,2,3
2,2931.77979,1207,5181.06,31.0,38,2,8
2,3055.29468,423,2673.79,31.0,50,2,5
2,3743.82324,134,2648.68555,32.0,48,2,0
2,2368.79858,58,2988.39624,31.0,46,2,1
2,2746.38062,256,0.0,24.0,45,2,2
2,3859.775,373,3090.75,30.0,46,2,3
2,3144.44873,1218,3624.8784200000014,27.0,50,2,11
2,2331.84351,85,3070.633,30.0,46,2,0
2,2422.71338,379,7349.9785200000015,31.0,48,2,3
2,3892.375,1023,0.0,31.0,49,2,8
2,2148.80029,24,7259.94,29.0,48,2,0
2,3891.75146,759,3062.0890000000004,29.0,46,2,7
2,1622.82068,45,4448.257000000001,19.0,48,2,0
2,2351.46582,175,5017.25439,29.0,48,2,2
2,2498.40356,214,7541.094,33.0,41,2,0
2,1917.2478,115,8382.416,32.0,41,2,1
2,3461.44043,422,1475.09644,31.0,49,2,3
2,2813.2644,494,1810.066,31.0,49,2,4
2,1961.4209,548,6762.57,30.0,47,2,4
2,1854.04065,38,6727.85,30.0,47,2,0
2,2159.432,600,4549.7876,30.0,48,2,6
2,3884.78,921,0.0,30.0,45,2,5
2,2280.33813,596,2682.74146,27.0,50,2,4
2,1453.76709,406,1850.26965,29.0,46,2,3
2,3674.27759,367,0.0,31.0,49,2,3
2,2358.3244600000007,478,3012.01123,30.0,46,2,4
2,2389.16968,797,2923.68115,30.0,46,2,5
2,1755.312,288,2547.48022,32.0,50,2,3
2,35.5858536,0,0.0,2.0,42,2,0
2,3522.48853,278,1097.836,22.0,49,2,2
2,1543.07214,326,816.9837650000002,31.0,50,2,2
2,1617.3573,355,819.1576,31.0,50,2,3
2,4540.978,542,1335.40186,29.0,49,2,5
2,3462.49585,3,2073.503,22.0,40,2,0
2,1976.32178,470,3205.762,32.0,50,2,1
2,3023.39941,392,1969.41589,30.0,49,2,4
2,4488.9834,926,1734.57178,30.0,40,2,6
2,3242.294000000001,589,6061.825,31.0,49,2,4
2,2839.614,783,6984.6123,30.0,50,2,7
2,3494.561,323,1775.111,31.0,49,2,1
2,2473.50562,521,6873.303709999999,30.0,50,2,2
2,2820.0370000000007,55,6797.209470000002,31.0,49,2,0
2,1471.514,163,3443.7097200000007,27.0,50,2,3
2,2654.69336,723,6279.82568,32.0,47,2,6
2,3570.80542,375,1182.16309,28.0,45,2,3
2,3120.5835,151,0.0,31.0,48,2,1
2,3469.53882,662,4869.1084,31.0,45,2,7
2,3924.29688,434,5099.999,31.0,44,2,4
2,7662.375,225,262.94342,24.0,45,2,4
2,3231.16284,331,4883.73242,24.0,44,2,2
2,2480.2670000000007,100,2006.56641,32.0,49,2,0
2,1316.72546,213,1358.025,22.0,49,2,0
2,2912.587,214,4957.60547,28.0,45,2,2
2,4983.565,367,1240.00781,31.0,50,2,2
2,3879.2688,257,1540.19543,31.0,50,2,2
2,2731.6911600000008,461,4900.42,29.0,45,2,6
2,3301.12842,147,0.0,31.0,36,2,1
2,8032.89453,0,166.48736599999995,27.0,50,2,0
2,2627.554,92,1365.3342300000004,32.0,49,2,2
2,3822.34961,227,0.0,31.0,36,2,3
2,3950.94946,567,0.0,36.0,49,2,3
2,3594.3781700000004,232,0.0,29.0,47,2,1
2,3864.72021,508,60.537632,30.0,47,2,0
2,3616.52832,154,1702.1733399999996,31.0,44,2,1
2,4026.9834,376,0.0,31.0,43,2,1
2,2432.23242,203,2469.2146,32.0,48,2,1
2,3680.5625,507,1710.16284,31.0,44,2,5
2,1949.29419,12,5450.14453,20.0,49,2,0
2,4344.219,428,0.0,31.0,43,2,4
2,1611.76917,173,2381.064,29.0,49,2,1
2,2656.78052,599,5706.28564,29.0,49,2,6
2,1949.571,627,8049.6464799999985,32.0,49,2,6
2,2101.855,496,1582.65527,33.0,47,2,3
2,2288.56421,613,1559.18652,33.0,47,2,9
2,2063.17114,106,11710.86,28.0,32,2,2
2,6534.2627,421,3184.86475,31.0,50,2,5
2,2121.09058,316,7640.446290000001,31.0,50,2,3
2,2541.94238,255,4313.38525,32.0,42,2,3
2,4214.176,315,2340.462,32.0,42,2,3
2,4777.616,380,2290.59424,36.0,49,2,5
2,2008.595,90,4158.51855,32.0,49,2,1
2,2149.63867,171,12795.9,28.0,32,2,1
2,4402.608,286,5840.906,31.0,49,2,0
