team_placement,player_dist_walk,player_dmg,player_dist_ride,player_survive_time,game_size,party_size,player_kills
1,1734.0426,616,989.9957,31.0,97,1,7
1,5994.73633,508,5066.44531,36.0,97,1,5
1,4062.22339,488,2261.39526,34.0,92,1,4
1,5152.94,492,0.0,32.0,81,1,5
1,4538.553,577,5.19187737,29.0,95,1,3
1,3248.683,1112,3291.238,29.0,91,1,10
1,2658.14648,883,4956.524,33.0,91,1,9
1,4101.805,1101,1165.60229,30.0,82,1,10
1,1907.82263,323,8138.687,30.0,94,1,3
1,4524.378,94,0.0,32.0,96,1,1
1,2307.35156,234,3411.58,31.0,93,1,3
1,3033.8340000000007,1433,2743.0432100000007,31.0,97,1,15
1,3230.62427,570,4427.26,31.0,93,1,6
1,4141.146,1538,145.729645,30.0,97,1,13
1,3791.95337,1304,3999.81885,30.0,97,1,12
1,3108.92749,822,5006.952,30.0,89,1,8
1,3777.8784200000014,604,0.0,31.0,97,1,5
1,5072.98633,681,1835.631,33.0,94,1,6
1,5417.404,443,0.8971385359999999,30.0,96,1,6
1,2655.304,146,5339.55566,36.0,92,1,1
1,4301.023,752,630.5972,30.0,98,1,8
1,2585.13184,1206,3911.58374,29.0,91,1,11
1,2199.07422,3054,7547.37,27.0,99,1,30
1,1902.91833,1066,2549.96362,32.0,95,1,10
1,2524.965,1042,4027.26465,31.0,94,1,9
1,3604.80371,556,0.0,31.0,96,1,6
1,3449.16,394,381.8937,29.0,95,1,5
1,3449.7531700000004,403,4333.735,31.0,97,1,4
1,3693.413,279,2141.96948,31.0,93,1,4
1,2212.28,635,3230.07324,32.0,95,1,6
1,2867.11963,420,4872.287,31.0,96,1,4
1,3536.281,349,3164.37427,30.0,95,1,3
1,2699.55225,211,2069.843,31.0,95,1,3
1,4498.22949,1049,0.0,29.0,89,1,9
1,5651.463000000002,505,0.0,31.0,96,1,6
1,2437.28735,1340,3144.25415,36.0,94,1,12
1,3224.59521,302,2795.88135,34.0,81,1,3
1,4249.43164,383,861.6398,32.0,92,1,4
1,3267.1394,619,0.0,31.0,95,1,5
1,2291.86865,729,0.0,30.0,89,1,7
1,1418.47412,416,0.0,32.0,90,1,4
1,6038.4926799999985,1427,0.0,28.0,95,1,14
1,3052.8642600000007,923,7427.0030000000015,30.0,95,1,6
1,1957.5376,1173,1350.36841,31.0,68,1,9
1,3550.003,1785,3158.239,31.0,83,1,15
1,2868.07373,558,4845.80029,29.0,93,1,5
1,4991.848,3401,1333.14624,27.0,98,1,36
1,2917.84033,552,3154.4494600000007,31.0,98,1,6
1,3567.34375,1370,1145.05151,31.0,63,1,12
1,2882.239,1461,3347.65039,31.0,85,1,12
1,4042.225,515,2113.72021,32.0,91,1,6
1,3477.0293,616,0.0,30.0,95,1,7
1,4699.60449,833,2446.82666,32.0,58,1,8
1,3320.35254,921,4494.877,31.0,89,1,9
1,2451.64258,1096,2551.22925,31.0,94,1,8
1,3607.03247,825,2091.1403800000007,29.0,96,1,8
